State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Andhra Pradesh ,1161.0,1386.0,1507.0,2042.0,2463.0,2781.0,3245.0,3441.0,4246.0,4715.0,5505.0,6452.0,7190.0,8018.0,9514.0,10614.0,14392.0,14544.0,16944.0,18038.0,23070.0,24726.0,26057.0,29830.0,31307.0,34915.0,41438.0,53984.0,61854.22,63447.93,78534.26,90415.36,102702.38,110374.49,98308.63,97424.78
Assam,357.0,402.0,483.0,688.0,835.0,943.0,1149.0,1326.0,1435.0,1669.0,1920.0,2148.0,2451.0,2901.0,3271.0,3576.0,3571.0,4039.0,4416.0,5846.0,6417.0,6846.0,7113.0,8450.0,10229.0,10536.0,11457.0,12744.0,14243.31,21232.18,22951.82,26528.56,29136.92,31971.81,52429.18,51562.85
Bihar,929.0,1167.0,1357.0,1432.0,1687.0,2098.0,2277.0,2619.0,3211.0,3945.0,4888.0,5739.0,6570.0,7319.0,7731.0,8456.0,8254.0,8957.0,10623.0,16128.0,14345.0,12560.0,14025.0,14632.0,14638.0,17756.0,20585.0,23565.0,28511.57,32584.17,38215.92,46499.48,54466.14,62477.23,100254.89,91208.11
Gujarat,903.0,1039.0,1283.0,1426.0,1701.0,1972.0,2469.0,3093.0,3362.0,3727.0,4082.0,5238.0,6211.0,6934.0,7544.0,8766.0,10259.0,12143.0,15606.0,17517.0,22041.0,22718.0,21440.0,21954.0,24302.0,25465.0,29232.0,33540.0,38741.45,48638.28,57440.0,59744.46,69658.49,75258.55,92597.89,101986.68
Haryana,401.0,486.0,567.0,623.0,761.0,854.0,967.0,1288.0,1443.0,1702.0,1933.0,2274.0,2379.0,3401.0,6273.0,5362.0,6767.0,6617.0,7019.0,6952.0,7181.0,8657.0,9342.0,10117.0,11407.0,12640.0,16362.0,17527.0,20534.73,25257.38,28310.18,32014.89,38071.72,41887.1,54919.09,61869.62
Himachal Pradesh,188.0,212.0,263.0,284.0,344.0,411.0,464.0,609.0,768.0,783.0,902.0,983.0,1146.0,1352.0,1614.0,1904.0,2147.0,2699.0,3334.0,3822.0,4376.0,4576.0,5141.0,5588.0,5793.0,6466.0,7644.0,8292.0,9438.13,11151.01,13246.09,13897.97,16174.25,17352.48,20445.03,23487.69
Jammu & Kashmir,273.0,296.0,326.0,422.0,509.0,595.0,653.0,861.0,966.0,1081.0,1249.0,1521.0,1782.0,1768.0,2324.0,2516.0,2899.0,3480.0,4909.0,6055.0,6685.0,6123.0,6413.0,6596.0,8188.0,9724.0,10067.0,11685.0,12446.86,15099.93,18466.81,22680.48,25117.22,27057.77,31050.59,34714.08
Karnataka,895.0,1002.0,1239.0,1417.0,1884.0,2098.0,2205.0,2667.0,3002.0,3483.0,3971.0,4954.0,5592.0,6208.0,7265.0,8481.0,10201.0,10890.0,12446.0,15232.0,16685.0,18606.0,18814.0,21285.0,24932.0,28041.0,33435.0,37375.0,41659.29,47536.92,54033.85,65115.07,76293.26,89189.57,108747.62,115449.68
Kerala,668.0,755.0,783.0,992.0,1139.0,1445.0,1655.0,1781.0,2061.0,2298.0,2825.0,3216.0,3656.0,4293.0,5066.0,5826.0,6788.0,8241.0,9228.0,11566.0,11878.0,11662.0,14756.0,15496.0,17169.0,18424.0,20825.0,24892.0,28223.88,31132.36,34664.81,46044.62,53488.74,60485.5,73852.31,85259.12
Madhya Pradesh,1016.0,1115.0,1328.0,1624.0,1734.0,2103.0,2532.0,3053.0,3618.0,3779.0,4746.0,5421.0,6157.0,7518.0,7809.0,9131.0,11462.0,11726.0,14218.0,16136.0,14986.0,14369.0,14560.0,18765.0,18026.0,20563.0,22363.0,25601.0,29513.88,35896.9,45011.59,52693.71,62968.53,69869.76,98249.6,108834.92
Maharashtra,1917.0,2238.0,2628.0,3181.0,3880.0,4491.0,4979.0,5505.0,6541.0,7903.0,8754.0,10049.0,11547.0,13109.0,14812.0,17168.0,20846.0,22897.0,25663.0,29538.0,37401.0,38282.0,40474.0,42680.0,51047.0,52280.0,61385.0,64780.0,75693.91,94915.97,106459.37,123554.19,138735.98,154902.42,194677.31,201987.9
Manipur,71.0,85.0,92.0,105.0,134.0,156.0,198.0,215.0,278.0,299.0,307.0,378.0,398.0,438.0,508.0,619.0,708.0,798.0,789.0,1357.0,1131.0,1338.0,1415.0,1463.0,1651.0,2005.0,2415.0,2293.0,2622.27,3014.41,4077.99,5005.22,5316.53,5718.83,8990.13,7965.08
Meghalaya,60.0,74.0,85.0,100.0,117.0,135.0,156.0,190.0,225.0,259.0,311.0,368.0,410.0,483.0,457.0,580.0,617.0,685.0,815.0,928.0,1080.0,1157.0,1205.0,1314.0,1596.0,1674.0,1908.0,2254.0,2682.77,3182.38,4012.72,4834.81,4999.53,5551.59,9902.78,7621.48
Nagaland,92.0,101.0,128.0,165.0,163.0,204.0,263.0,328.0,344.0,393.0,422.0,489.0,527.0,680.0,722.0,845.0,865.0,1004.0,1049.0,1180.0,1420.0,1451.0,1506.0,1813.0,1685.0,2061.0,2222.0,2572.0,2889.53,3252.42,4187.82,4875.66,5601.39,5750.35,7605.56,8661.62
Odisha,541.0,574.0,825.0,783.0,897.0,1001.0,1248.0,1408.0,1659.0,1846.0,2191.0,2635.0,3049.0,3482.0,4036.0,4698.0,5117.0,5537.0,6819.0,8459.0,8829.0,9878.0,10015.0,10861.0,12372.0,13604.0,15772.0,17723.0,24568.99,25291.59,29367.94,34660.23,38237.55,45617.75,60272.15,65838.99
Punjab,550.0,620.0,684.0,820.0,941.0,1163.0,1202.0,1634.0,1868.0,2021.0,2520.0,4197.0,3423.0,4044.0,6043.0,5635.0,6926.0,7835.0,8384.0,10195.0,11713.0,12710.0,14825.0,15702.0,17198.0,18208.0,18544.0,23061.0,24568.99,27407.94,32897.18,33045.32,39457.94,41640.67,48982.74,52623.2
Rajasthan,688.0,823.0,955.0,1099.0,1303.0,1508.0,1867.0,2539.0,2571.0,2698.0,3480.0,4080.0,4997.0,5898.0,6747.0,8332.0,8426.0,8986.0,11576.0,13430.0,15035.0,15949.0,17016.0,18848.0,19906.0,21499.0,24954.0,29128.0,34295.6,40132.2,44873.35,53653.31,63461.79,75509.59,100887.94,110804.85
Sikkim,30.0,32.0,36.0,49.0,59.0,78.0,81.0,99.0,113.0,115.0,128.0,155.0,180.0,189.0,526.0,881.0,1119.0,1258.0,1496.0,1510.0,763.0,1664.0,1883.0,1181.0,1723.0,1768.0,1888.0,2349.0,2293.61,2738.05,2907.53,3230.14,3012.35,3457.96,4895.44,4258.51
Tamil Nadu,1152.0,1360.0,1576.0,1911.0,2210.0,2450.0,2776.0,3375.0,3763.0,4731.0,5641.0,8680.0,8543.0,8758.0,9635.0,10911.0,13065.0,14951.0,17697.0,20728.0,21752.0,21557.0,25688.0,25271.0,29155.0,32009.0,38265.0,42975.0,53590.26,59375.35,72916.3,83838.04,97067.44,109824.67,136725.38,147297.35
